ID,DRAWID,NAME,MODIFY_DATE,COMMENTS,AUDITID,extra_col_7
2,2,Statements,1998-10-06,5,,2
3,3,Unposted Items,1998-10-06,5,,3
4,3,Item Entry Block Listing,1998-10-06,5,,4
5,2,Correspondence,1998-10-06,5,,
6,4,Aged Outpatient Exception,1998-10-06,5,,6
7,5,Charge Packet,1998-10-06,5,,7
8,6,Daily Transaction Audit,1998-10-06,5,,8
9,4,Detail,1998-10-06,5,,9
10,4,UB92,1998-10-06,5,,11
11,4,Letters,1998-10-06,5,,
12,7,Invoice,1998-10-06,5,,13
13,8,Invoice,1998-10-06,5,,14
14,8,Shipper,1998-10-06,5,,15
15,9,40175843,1998-10-06,5,,17
16,9,40123781,1998-10-06,5,,17
17,9,40195810,1998-10-06,5,,17
18,9,40154312,1998-10-06,5,,17
19,9,40187026,1998-10-06,5,,17
20,9,40123015,1998-10-06,5,,17
21,9,40159725,1998-10-06,5,,17
22,9,40163201,1998-10-06,5,,17
23,9,40192832,1998-10-06,5,,17
24,9,40138793,1998-10-06,5,,17
25,9,40167198,1998-10-06,5,,17
26,9,40143251,1998-10-06,5,,17
27,9,40178926,1998-10-06,5,,17
28,9,40149725,1998-10-06,5,,17
29,9,40138760,1998-10-06,5,,17
30,9,40169182,1998-10-06,5,,17
31,9,40192085,1998-10-06,5,,17
32,9,40176265,1998-10-06,5,,17
33,9,40132917,1998-10-06,5,,17
34,9,40169420,1998-10-06,5,,17
35,9,40144321,1998-10-06,5,,17
36,9,40199523,1998-10-06,5,,17
37,9,40139882,1998-10-06,5,,17
38,9,40156789,1998-10-06,5,,17
39,9,40154380,1998-10-06,5,,17
40,9,40127685,1998-10-06,5,,17
41,9,40136529,1998-10-06,5,,17
42,9,40117826,1998-10-06,5,,17
43,9,40145451,1998-10-06,5,,17
44,9,40168967,1998-10-06,5,,17
45,11,Letters,1998-10-06,5,,
46,11,Directions,1998-10-06,5,,
52,16,Signature Cards,1999-04-09,4,,
57,19,Sample,1999-04-09,4,,
58,20,DEC-RENEWAL POLICY,1999-04-09,4,,19
59,20,DEC-AMENDED POLICY,1999-04-09,4,,19
60,20,DEC-AMENDED RENEWAL POLICY,1999-04-09,4,,19
61,20,DEC-REINSTATED POLICY,1999-04-09,4,,19
62,21,90000008,1999-04-09,4,,0
63,21,90000046,1999-04-09,4,,0
64,21,90000047,1999-04-09,4,,0
65,21,90000048,1999-04-09,4,,0
66,21,90000070,1999-04-09,4,,0
67,21,90000075,1999-04-09,4,,0
68,21,90000079,1999-04-09,4,,0
69,21,90000084,1999-04-09,4,,0
70,21,90000085,1999-04-09,4,,0
71,21,90000086,1999-04-09,4,,0
72,21,90000088,1999-04-09,4,,0
73,21,90000114,1999-04-09,4,,0
74,21,90000132,1999-04-09,4,,0
75,21,90000138,1999-04-09,4,,0
76,21,90000149,1999-04-09,4,,0
77,21,90000150,1999-04-09,4,,0
78,21,90000157,1999-04-09,4,,0
79,21,90000161,1999-04-09,4,,0
80,22,04551602,1999-04-09,4,,0
81,22,04551768,1999-04-09,4,,0
82,22,04551818,1999-04-09,4,,0
83,22,04551891,1999-04-09,4,,0
84,22,04551925,1999-04-09,4,,0
85,22,04552162,1999-04-09,4,,0
86,22,04552295,1999-04-09,4,,0
87,22,04552378,1999-04-09,4,,0
88,22,04552535,1999-04-09,4,,0
89,22,04552881,1999-04-09,4,,0
90,22,04552899,1999-04-09,4,,0
91,22,04552964,1999-04-09,4,,0
92,22,04553137,1999-04-09,4,,0
93,22,04553343,1999-04-09,4,,0
94,22,04553400,1999-04-09,4,,0
95,22,04553509,1999-04-09,4,,0
96,22,04553665,1999-04-09,4,,0
97,22,04553830,1999-04-09,4,,0
98,22,04553947,1999-04-09,4,,0
99,22,04553996,1999-04-09,4,,0
100,22,04554028,1999-04-09,4,,0
101,22,04554051,1999-04-09,4,,0
137,32,Artifact,1999-05-04,4,,
139,34,687582,2014-04-14,0,,
142,36,687582,2014-04-17,0,,
143,37,333333,2014-04-25,0,,
144,37,444444,2014-04-25,0,,
145,37,555555,2014-04-25,0,,
